@@,itemlabel,item,startdate,enddate
+++,Jerry Barican,,1998,2000
+++,Renato Corona,Q2625360,2001,2002
->,Rigoberto Tiglao,Q111014029->NULL,2001-04->2002-04,2002-11->2002
+++,Ignacio Bunye,Q2308053,2003-01-20,2008
+++,Eduardo Ermita,Q975666,2008-05-20,2010-06-30
+++,Edwin Lacierda,Q5346597,2010-06-30,2016-06-30
+++,Ernesto Abella,Q25136935,2016-06-30,2017-10-30
+++,Harry Roque,Q23303083,2017-10-30,2018-10-15
+++,Salvador Panelo,Q25999502,2018-10-15,2020-04-13
+++,Harry Roque,Q23303083,2020-04-13,2021-11-15
+++,Karlo Nograles,Q12965820,2021-11-15,2022-03-07
+++,Martin Andanar,Q6774889,2022-03-08,
