wdid,name,wdLabel,source,sourceDate,pid,position,psid
Q110013408,Tina Rose Marie Canda,Tina Rose Marie Canda,,,Q7444285,Secretary of Budget and Management,Q110013408-7F0A77C1-297D-4F46-AFD6-09AD379369EB
Q110408318,Emmanuel Rey R. Caintic,Emmanuel Rey R. Caintic,,,Q110013432,Secretary of Information and Communications Technology,Q110408318-CEE890B6-64F4-4EBA-9CFF-16690EA2AD4B
Q110914870,Bernie F. Cruz,Bernie F. Cruz,,,Q7444282,Secretary of Agrarian Reform,Q110914870-3EC71C32-C676-4B85-9795-A524D080B577
Q110961423,Jim Sampluna,Jim Sampluna,,,Q7444302,Secretary of Environment and Natural Resources,Q110961423-C07F619F-9742-44B9-B5AE-081E3D559420
Q12970094,Roger Mercado,Roger Mercado,,,Q7444321,Secretary of Public Works and Highways,Q12970094-20E3C41C-9693-48E7-B288-5222263549E0
Q20675880,Eduardo Año,Eduardo Año,,,Q7444421,Secretary of the Interior and Local Government,Q20675880-ad9a4da1-4e84-ecb8-14b8-86a7a397a70c
Q24810051,Arthur Tugade,Arthur Tugade,https://en.wikipedia.org/wiki/Arthur_Tugade,2021-12-09,Q7444401,Secretary of Transportation,Q24810051-E1BE0A6D-5196-48E7-8B8B-9E4DB89F1DD1
Q24852544,Salvador Medialdea,Salvador Medialdea,https://en.wikipedia.org/wiki/Salvador_Medialdea,2021-12-09,Q30995,Executive Secretary of the Philippines,Q24852544-F83045E9-E07B-452C-98D4-EF1AF1AC845F
Q25136908,Silvestre Bello III,Silvestre Bello III,,,Q7444316,Secretary of Labor and Employment,Q25136908-318b306e-46a2-b6bd-31e6-553d12245341
Q25350219,Fortunato de la Peña,Fortunato de la Peña,https://en.wikipedia.org/wiki/Fortunato_de_la_Peña,2021-12-09,Q7444322,Secretary of Science and Technology,Q25350219-AA7810DF-D5FE-4461-B67A-9D738E897E8E
Q25350470,Carlos Dominguez III,Carlos Dominguez III,https://en.wikipedia.org/wiki/Carlos_Dominguez_III,2021-12-09,Q7444305,31st Secretary of Finance,Q25350470-D3284C18-2FB8-4B74-A527-3800E38DAB32
Q25351017,Delfin Lorenzana,Delfin Lorenzana,,,Q7444318,Secretary of National Defense,Q25351017-1e56ea67-48f9-4ef5-a990-1eaf5c3a2c1d
Q25706643,Alfonso Cusi,Alfonso Cusi,https://en.wikipedia.org/wiki/Alfonso_Cusi,2021-12-09,Q7444301,Secretary of Energy,Q25706643-E644B6F2-D61D-4FCB-9A52-A7A6D493C7D6
Q28421676,Ramon Lopez,Ramon Lopez,https://en.wikipedia.org/wiki/Ramon_Lopez_(businessman),2021-12-09,Q7444399,Secretary of Trade and Industry,Q28421676-7BEAA490-4EDD-4D0D-A58F-F34E9BC8C8DA
Q339811,Francisco Duque,Francisco Duque,,,Q7444312,Secretary of Health,Q339811-289e8b48-439c-da5b-b779-4b22250028a1
Q457786,Rodrigo Duterte,Rodrigo Duterte,,,Q1209571,President of the Philippines,Q457786-29621d4f-4059-8240-40b3-85200d7ab5ce
Q53871378,Bernadette Romulo-Puyat,Bernadette Romulo-Puyat,,,Q7444400,Secretary of Tourism,Q53871378-3da2f328-4e58-0604-dfc2-e51ea6f4bec7
Q64746899,Rolando Joselito Bautista,Rolando Joselito Bautista,https://en.wikipedia.org/wiki/Rolando_Joselito_Bautista,2021-12-09,Q7444323,Secretary of Social Welfare and Development,Q64746899-CFB58E35-CCDF-4D56-8FEC-2EC16C82E66E
Q6526653,Leonor Briones,Leonor Briones,,,Q7444298,Secretary of Education,Q6526653-de996ec5-4f2c-2972-b4d3-4f7a56fb8b7f
Q66221363,Menardo Guevarra,Menardo Guevarra,https://en.wikipedia.org/wiki/Menardo_Guevarra,2021-12-09,Q7444314,59th Secretary of Justice,Q66221363-45B30005-C152-4EA2-A68B-7DCC589B4E79
Q6761357,Leni Robredo,Leni Robredo,,,Q2723485,Vice President of the Philippines,Q6761357-844a818b-4072-363e-8461-80ada2bfbcfd
Q7701087,"Teodoro Locsin, Jr.","Teodoro Locsin, Jr.",,,Q17088037,Secretary of Foreign Affairs,Q7701087-393fb972-4cc9-51c1-19f2-22a750b042d2
Q8007583,William Dar,William Dar,,,Q7444283,Secretary of Agriculture,Q8007583-d3f7fd68-4ee0-872f-ff45-1f1a5dd661a7
Q81815059,Eduardo del Rosario,Eduardo del Rosario,https://en.wikipedia.org/wiki/Eduardo_del_Rosario,2021-12-09,Q110013349,Secretary of Human Settlements and Urban Development,Q81815059-0A8A7825-274F-4AD6-8087-EDF947C34E66
Q95176372,Karl Kendrick Chua,Karl Kendrick Chua,https://en.wikipedia.org/wiki/Karl_Kendrick_Chua,2021-12-09,Q110013323,15th Director-General of the National Economic and Development Authority,Q95176372-2278866C-9099-46F2-A8F9-2CC00A46B766
