item,itemLabel,startDate,endDate
Q2044223,Gregorio S. Araneta,1901-06-15,1906-07-16
Q3043045,Ignacio B. Villamor,1906-07-17,1908-07-01
,George R. Harvey,1908-07-01,1914-06-30
Q7282088,Rafael Corpus,1914-07-01,1916-12-31
Q161861,Quintin B. Paredes,1917-03-01,1918-06-30
Q449931,César Fernando C. Bengzon,1932-07-01,1934-06-30
,Serafin P. Hilado,1934-07-01,1936-06-30
,Pedro T. Tuazon,1936-07-01,1938-08-17
,Roman Ozaeta,1938-08-17,1940-06-30
Q555469,Lorenzo M. Tañada,1940-07-01,1941-06-30
,Sixto dela Costa,1941-07-01,1945-06-30
Q555469,Lorenzo M. Tañada,1945-07-01,1947-12-30
,Manuel Lim,1947-12-30,1948-06-30
,Felix Angelo Bautista,1948-07-01,1950-10-20
,Pompeyo Diaz,1950-10-20,1952-11-10
Q12965483,Juan R. Liwag,1952-11-10,1954-02-09
Q3589122,Querube C. Makalintal,1954-02-09,1954-08-31
Q459516,Ambrosio B. Padilla,1954-09-01,1957-12-30
,Guillermo E. Torres,1957-12-30,1958-06-30
,Edilberto Barot,1958-07-01,1961-06-30
,Arturo A. Alafriz,1961-07-01,1966-01-24
,Antonio P. Barredo,1966-01-24,1968-06-30
Q2599027,Felix V. Makasiar,1968-07-01,1970-02-08
,Felix Q. Antonio,1970-02-09,1972-06-30
Q25652427,Estelito P. Mendoza,1972-07-01,1986-02-25
,Sedfrey A. Ordoñez,1986-02-25,1987-03-04
Q15992848,Frank C. Chavez,1987-03-05,1992-02-05
,Ramon S. Desuasido,1992-02-06,1992-07-05
,Eduardo G. Montenegro,1992-07-06,1992-08-10
Q17903547,Raul I. Goco,1992-08-11,1996-09-22
Q25136908,Silvestre H. Bello III,1996-09-23,1998-02-03
Q22958881,Romeo C. de la Cruz,1998-02-04,1998-06-08
Q25136908,Silvestre H. Bello III,1998-06-09,1998-06-30
,Ricardo P. Galvez,1998-07-01,2001-02-15
Q7517665,Simeon V. Marcelo,2001-02-16,2002-05-13
,Carlos N. Ortega,2002-05-13,2002-11-10
Q4723714,Alfredo L. Benipayo,2002-11-10,2006-03-31
Q4776584,Antonio Eduardo B. Nachura,2006-04-03,2007-02-11
Q1955912,Agnes VST Devanadera,2007-03-02,2010-01-15
Q4711914,Alberto C. Agra,2010-01-16,2010-06-30
,Jose Anselmo I. Cadiz,2010-07-01,2012-02-03
Q5481478,Francis H. Jardeleza,2012-02-06,2014-08-19
Q20646249,Florin T. Hilbay,2014-08-20,2015-06-18
Q20646249,Florin T. Hilbay,2015-06-19,2016-06-30
Q25999567,Jose Calida,2016-06-30,
