item,itemLabel,startDate,endDate
,Jerry Barican,1998,2000
Q2625360,Renato Corona,2001,2002
,Rigoberto Tiglao,2002-04,2002
Q2308053,Ignacio Bunye,2003-01-20,2008
Q975666,Eduardo Ermita,2008-05-20,2010-06-30
Q5346597,Edwin Lacierda,2010-06-30,2016-06-30
Q25136935,Ernesto Abella,2016-06-30,2017-10-30
Q23303083,Harry Roque,2017-10-30,2018-10-15
Q25999502,Salvador Panelo,2018-10-15,2020-04-13
Q23303083,Harry Roque,2020-04-13,2021-11-15
Q12965820,Karlo Nograles,2021-11-15,2022-03-07
Q6774889,Martin Andanar,2022-03-08,2022-06-30
