@@,wdid,name,position
->,Q95176372,Karl Kendrick Chua->Karl Kendrick T. Chua,15th Director-General of the National Economic and Development Authority->Director-General of the National Economic and Development Authority and Secretary of Socio-economic Planning
->,Q81815059,Eduardo del Rosario->Eduardo D. del Rosario,Secretary of Human Settlements and Urban Development
->,Q8007583,William Dar->William D. Dar,Secretary of Agriculture
->,Q7701087,"Teodoro Locsin, Jr.->Teodoro L. Locsin, Jr.",Secretary of Foreign Affairs
->,Q66221363,Menardo Guevarra->Menardo I. Guevarra,59th Secretary of Justice->Secretary of Justice
->,Q6526653,Leonor Briones->Leonor Mirasol M. Briones,Secretary of Education
->,Q64746899,Rolando Joselito Bautista->Rolando Joselito D. Bautista,Secretary of Social Welfare and Development
->,Q53871378,Bernadette Romulo-Puyat->Bernadette Fatima T. Romulo-Puyat,Secretary of Tourism
->,Q339811,"Francisco Duque->Francisco T. Duque, III",Secretary of Health
->,Q28421676,Ramon Lopez->Ramon M. Lopez,Secretary of Trade and Industry
->,Q25706643,Alfonso Cusi->Alfonso G. Cusi,Secretary of Energy
->,Q25351017,Delfin Lorenzana->Delfin N. Lorenzana,Secretary of National Defense
->,Q25350470,"Carlos Dominguez III->Carlos G. Dominguez, III",31st Secretary of Finance->Secretary of Finance
->,Q25350219,Fortunato de la Peña->Fortunato T. de la Peña,Secretary of Science and Technology
->,Q25136908,"Silvestre Bello III->Silvestre H. Bello, III",Secretary of Labor and Employment
->,Q24852544,Salvador Medialdea->Salvador C. Medialdea,Executive Secretary of the Philippines->Executive Secretary
->,Q24810051,Arthur Tugade->Arthur P. Tugade,Secretary of Transportation
->,Q20675880,Eduardo Año->Eduardo M. Año,Secretary of the Interior and Local Government
->,Q12970094->NULL,Roger Mercado->Roger G. Mercado(Acting-capacity),Secretary of Public Works and Highways
->,Q110961423->NULL,Jim Sampluna->Jim O. Sampluna(Acting-capacity),Secretary of Environment and Natural Resources
->,Q110914870->NULL,Bernie F. Cruz->Bernie F. Cruz(Acting-capacity),Secretary of Agrarian Reform
->,Q110408318->NULL,Emmanuel Rey R. Caintic->Emmanuel Rey R. Caintic(Acting-capacity),Secretary of Information and Communications Technology
->,Q110013408->NULL,Tina Rose Marie Canda->Tina Rose Marie L. Canda(Officer-in-charge),Secretary of Budget and Management
---,Q6761357,Leni Robredo,Vice President of the Philippines
---,Q457786,Rodrigo Duterte,President of the Philippines
+++,Q6774889,Jose Ruperto Martin M. Andanar,Secretary of the Presidential Communications Operations Office
+++,Q6774889,Jose Ruperto Martin M. Andanar(Acting & Concurrent capacity),Presidential Spokesperson
+++,Q5741968,"Hermogenes C. Esperon, Jr.",National Security Adviser and Director-General of the National Security Council
+++,Q52274914,Carlito G. Galvez Jr.,"Presidential Adviser on Peace, Reconciliation, and Unity"
+++,Q25999567,Jose C. Calida,Solicitor General
+++,Q110316845,Jacinto V. Paras,Presidential Adviser on Political Affairs
+++,Q109235964,Jesus Melchor V. Quitain(Officer-in-charge),Special Assistant to the President
+++,Q109235964,Jesus Melchor V. Quitain,Chief Presidential Legal Counsel
+++,"",Luzverfeda E. Pascual(Acting-capacity),Presidential Adviser on Legislative Affairs and Head of the Presidential Legislative Liaison Office
+++,"",Michael Lloyd L. Diño,Presidential Assistant for the Visayas
+++,"",Melvin A. Matibag(Acting-capacity),Cabinet Secretary
+++,"",Abdullah D. Mama-o(Acting-capacity),Secretary of Migrant Workers
