item,itemLabel,startDate,endDate,sourceDate,psid
Q123665,Gloria Macapagal Arroyo,1998-06-30,2001-01-20,,Q123665-4ae8dd9b-4099-6d47-1b95-e4ed807d9a31
Q983317,Teofisto Guingona Jr.,2001-02-07,2004-06-30,,Q983317-f425dd78-4768-6e0a-98d7-a92584a25e8b
Q338324,Noli de Castro,2004-06-30,2010-06-30,,Q338324-ca2c08ec-40dc-8968-ec40-6a8f4b0e7004
Q380154,Jejomar Binay,2010-06-30,2016-06-30,,Q380154-10400BFF-A662-4C98-B184-E7DBD53DFB81
Q6761357,Leni Robredo,2016-06-30,2022-06-30,,Q6761357-844a818b-4072-363e-8461-80ada2bfbcfd
Q1491004,Sara Duterte,2022-06-30,,,Q1491004-DEED532C-AB08-456B-8074-A92C1F2BD1D6
