item,itemLabel,startDate,endDate
Q5162668,Conrado F. Estrella,1971-09-10,1978-06
Q5162668,Conrado F. Estrella,1978-06,1986-02-25
Q5162668,Conrado F. Estrella,1986-02-25,1986-04-30
Q5618246,Heherson T. Alvarez,1986-05-01,1987-03-07
Q7183508,Philip Ella Juico,1987-07-23,1989-07-01
Q264252,Miriam Defensor Santiago,1989-07-20,1990-01-04
Q1427383,Florencio B. Abad,1990-01-04,1990-04-05
,Benjamin T. Leong,1990-04-06,1992-06-30
,Ernesto D. Garilao,1992-06-30,1998-06-30
Q1627947,"Horacio R. Morales, Jr.",1998-06-30,2001-01-20
Q1627947,"Horacio R. Morales, Jr.",2001-01-20,2001-02-11
,Hernani A. Braganza,2001-02-12,2003-01-15
Q7351837,Roberto M. Pagdanganan,2003-01-20,2004-01-20
,Jose Mari B. Ponce,2004-02-20,2004-08-24
,Rene C. Villa,2004-08-26,2004-09-27
,Rene C. Villa,2004-09-27,2005-07-09
,Nasser C. Pangandaman,2005-07-09,2005-08-23
,Nasser C. Pangandaman,2005-08-23,2010-06-30
Q7933866,Virgilio Gil R. de los Reyes,2010-06-30,2016-06-30
Q7282346,Rafael V. Mariano,2016-06-30,2017-09-06
,Rosalina Bistoyong,2017-09-12,2017-11-30
Q66309319,John Castriciones,2017-12-01,2021-10-08
,Bernie F. Cruz,2021-10-28,
